GameController/Index: 	1230ms

GameController/GetCount: 	1239ms

OrderController/Details: 	1350ms

GameController/GetCount: 	1351ms

OrderController/Make: 	1383ms

GameController/GetCount: 	1383ms

OrderController/Pay: 	5090ms

OrderController/Details: 	5107ms

GameController/GetCount: 	5107ms

OrderController/Details: 	5127ms

GameController/GetCount: 	5127ms

OrderController/Details: 	5145ms

GameController/GetCount: 	5146ms

OrderController/Details: 	5171ms

GameController/GetCount: 	5171ms

OrderController/Details: 	5189ms

GameController/GetCount: 	5190ms

OrderController/Details: 	5208ms

GameController/GetCount: 	5209ms

OrderController/Details: 	5226ms

GameController/GetCount: 	5226ms

OrderController/Details: 	5243ms

GameController/GetCount: 	5244ms

OrderController/Details: 	5262ms

GameController/GetCount: 	5262ms

OrderController/Details: 	5283ms

GameController/GetCount: 	5284ms

OrderController/Details: 	5304ms

GameController/GetCount: 	5304ms

OrderController/Details: 	5328ms

GameController/GetCount: 	5329ms

OrderController/Details: 	5350ms

GameController/GetCount: 	5350ms

OrderController/Details: 	5371ms

GameController/GetCount: 	5372ms

OrderController/Details: 	5389ms

GameController/GetCount: 	5390ms

OrderController/Details: 	5408ms

GameController/GetCount: 	5408ms

OrderController/Details: 	5425ms

GameController/GetCount: 	5426ms

OrderController/Details: 	5446ms

GameController/GetCount: 	5448ms

GameController/Index: 	1095ms

GameController/GetCount: 	1106ms

OrderController/Details: 	1188ms

GameController/GetCount: 	1189ms

OrderController/Make: 	1218ms

GameController/GetCount: 	1219ms

OrderController/Pay: 	2798ms

OrderController/Details: 	2832ms

GameController/GetCount: 	2833ms

OrderController/Make: 	2873ms

GameController/GetCount: 	2874ms

GameController/Index: 	1213ms

GameController/GetCount: 	1222ms

OrderController/Details: 	1335ms

GameController/GetCount: 	1336ms

OrderController/Make: 	1364ms

GameController/GetCount: 	1365ms

OrderController/Pay: 	6225ms

GameController/Index: 	6295ms

GameController/GetCount: 	6296ms

GameController/Details: 	6327ms

GameController/GetCount: 	6328ms

GameController/Details: 	6346ms

GameController/GetCount: 	6346ms

OrderController/Add: 	6394ms

GameController/Index: 	6440ms

GameController/GetCount: 	6440ms

OrderController/Details: 	6461ms

GameController/GetCount: 	6461ms

GameController/Details: 	6495ms

GameController/GetCount: 	6500ms

OrderController/Add: 	6521ms

GameController/Index: 	6577ms

GameController/GetCount: 	6577ms

OrderController/Details: 	6599ms

GameController/GetCount: 	6600ms

OrderController/Make: 	6623ms

GameController/GetCount: 	6623ms

OrderController/Pay: 	13002ms

OrderController/Pay: 	13071ms

OrderController/Details: 	13074ms

GameController/GetCount: 	13076ms

GameController/Index: 	1133ms

GameController/GetCount: 	1141ms

GameController/Index: 	1451ms

GameController/GetCount: 	1460ms

GameController/Details: 	1491ms

GameController/GetCount: 	1491ms

PublisherController/Details: 	1512ms

GameController/GetCount: 	1513ms

PublisherController/Update: 	1535ms

GameController/GetCount: 	1536ms

PublisherController/Update: 	2994ms

PublisherController/Index: 	3009ms

GameController/GetCount: 	3010ms

GameController/Index: 	1283ms

GameController/GetCount: 	1292ms

GameController/Details: 	1350ms

GameController/GetCount: 	1354ms

CommentController/Index: 	1563ms

GameController/GetCount: 	1564ms

GameController/Index: 	1185ms

GameController/GetCount: 	1194ms

CommentController/Index: 	1319ms

GameController/GetCount: 	1320ms

UserController/Ban: 	5508ms

UserController/Ban: 	6875ms

UserController/Ban: 	2284ms

GameController/GetCount: 	2594ms

GameController/Index: 	2594ms

GameController/GetCount: 	2595ms

GameController/Details: 	2617ms

GameController/GetCount: 	2618ms

CommentController/Index: 	2919ms

GameController/GetCount: 	2919ms

UserController/Ban: 	9438ms

GameController/GetCount: 	9439ms

